EntityType,EntityName,PolicyName,PolicyType,Sid,Action,Resource
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,amplify:listBranches,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,amplify:listDomainAssociations,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,amplify:listWebhooks,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,amplifyuibuilder:exportComponents,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,amplifyuibuilder:exportThemes,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:batchGetCollection,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:batchGetEffectiveLifecyclePolicy,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:batchGetLifecyclePolicy,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:batchGetVpcEndpoint,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:getAccessPolicy,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:getAccountSettings,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:getPoliciesStats,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:getSecurityConfig,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:getSecurityPolicy,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listAccessPolicies,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listCollections,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listLifecyclePolicies,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listSecurityConfigs,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listSecurityPolicies,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listTagsForResource,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aoss:listVpcEndpoints,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appconfig:getApplication,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appconfig:getConfigurationProfile,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appconfig:getDeployment,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appconfig:getDeploymentStrategy,*
